# Baryon_Mass_Density(g/cm^3)  Pressure/c^2(g/cm^3)  Energy_Mass_Density(g/cm^3)
 1.32722253E+01  3.36295284E-07  1.31539400E+01
 4.19704616E+01  2.14431964E-06  4.15964124E+01
 1.32722253E+02  1.36728255E-05  1.31539417E+02
 4.19704616E+02  8.71820379E-05  4.15964232E+02
 1.32722253E+03  5.55898834E-04  1.31539486E+03
 4.19704616E+03  3.54457777E-03  4.15964671E+03
 1.32722253E+04  2.26012915E-02  1.31539766E+04
 4.19704616E+04  1.44112616E-01  4.15966455E+04
 1.32722253E+05  9.18905284E-01  1.31540903E+05
 4.19704616E+05  5.85921582E+00  4.15973708E+05
 1.05421651E+06  2.57912311E+01  1.04486337E+06
 2.64814161E+06  1.08539025E+02  2.62472507E+06
 6.65192248E+06  4.35157484E+02  6.59342212E+06
 8.37359947E+06  5.85142727E+02  8.30008816E+06
 1.67051580E+07  1.59665300E+03  1.65594512E+07
 3.33374544E+07  4.26478812E+03  3.30492325E+07
 6.65297350E+07  1.11932608E+04  6.59613114E+07
 1.32724364E+08  2.89734106E+04  1.31607997E+08
 2.64808393E+08  7.42805257E+04  2.62626425E+08
 3.33366191E+08  9.72233723E+04  3.30641274E+08
 5.28439116E+08  1.81250714E+05  5.24196764E+08
 8.37353339E+08  3.37021738E+05  8.30774365E+08
 1.05429750E+09  4.59413257E+05  1.04611577E+09
 1.22224058E+09  5.60330628E+05  1.21283631E+09
 1.61793164E+09  7.63278020E+05  1.60569384E+09
 2.56443125E+09  1.41529102E+06  2.54563758E+09
 4.19674292E+09  2.62140381E+06  4.16720120E+09
 6.65183018E+09  4.85338007E+06  6.60707697E+09
 8.08533444E+09  6.29982529E+06  8.03212665E+09
 1.01791421E+10  8.56963165E+06  1.01140545E+10
 1.32759019E+10  1.16605738E+07  1.31940453E+10
 1.67108121E+10  1.58552650E+07  1.66112878E+10
 2.10386027E+10  2.15631604E+07  2.09180827E+10
 2.54829399E+10  2.78496339E+07  2.53421300E+10
 3.33380816E+10  3.78746120E+07  3.31638488E+10
 4.19667923E+10  5.14934501E+07  4.17588717E+10
 5.06560491E+10  6.61915589E+07  5.04171505E+10
 6.65195719E+10  9.00022727E+07  6.62299572E+10
 8.37559564E+10  1.22391519E+08  8.34184397E+10
 1.03027407E+11  1.61334275E+08  1.02644512E+11
 1.09630758E+11  1.66341201E+08  1.09233821E+11
 1.42124866E+11  2.26201781E+08  1.41667616E+11
 1.70762123E+11  2.88955251E+08  1.70264190E+11
 1.85107685E+11  3.21778431E+08  1.84593531E+11
 2.10344796E+11  3.66061908E+08  2.09807304E+11
 2.73803679E+11  4.97688424E+08  2.73232440E+11
 3.33378202E+11  6.47117342E+08  3.32805973E+11
 4.19711515E+11  8.38715702E+08  4.19181467E+11
 4.30810395E+11  8.68423462E+08  4.30288899E+11
 4.34323713E+11  8.77880988E+08  4.33805084E+11
 4.53257514E+11  9.29285427E+08  4.52755648E+11
 4.83288337E+11  1.01228913E+09  4.82817472E+11
 4.98859579E+11  1.05601628E+09  4.98406854E+11
 5.12201143E+11  1.09384639E+09  5.11765053E+11
 5.72431716E+11  1.20500014E+09  5.72079281E+11
 2.11308853E+12  2.39742733E+09  2.11612068E+12
 3.17348513E+12  3.81327468E+09  3.17954598E+12
 4.47641123E+12  5.86132986E+09  4.48689254E+12
 6.04012354E+12  8.67600101E+09  6.05674888E+12
 7.88840604E+12  1.24027115E+10  7.91328465E+12
 1.25557590E+13  2.32477128E+10  1.26053257E+13
 1.87541632E+13  3.98784949E+10  1.88431423E+13
 2.67971650E+13  6.41008893E+10  2.69458851E+13
 3.69706747E+13  9.80433955E+10  3.72058369E+13
 4.93718379E+13  1.44054818E+11  4.97256214E+13
 7.14926053E+13  2.40554968E+11  7.20879004E+13
 1.04180490E+14  4.28092155E+11  1.05194070E+14
 1.22561145E+14  5.61465532E+11  1.23839997E+14
 1.27225818E+14  5.97615536E+11  1.28575389E+14
